,Nombre,Direccion,Coordenadas,latitud,longitud
307,Restaurante Amor de mis Amores,"Calle el Perdón, 11. 38006 Santa Cruz de Tenerife (Tenerife - Santa Cruz de Tenerife)","{'type': 'Point', 'coordinates': [-16.8519802, 28.3732831]}",28.3732831,-16.8519802
308,Restaurante El Chalet,"Santa teresa de jesus, 25","{'type': 'Point', 'coordinates': [-69.8062963883, 18.4923251]}",18.4923251,-69.8062963883
309,Restaurante El Risco,"Calle Montaña Clara, 30, 35558 Caleta de Famara, Las Palmas, España","{'type': 'Point', 'coordinates': [-13.564293, 29.1180017]}",29.1180017,-13.564293
310,Restaurante El Equilibrista 33,"Calle Ingeniero Salinas, 23. 35006 Las Palmas de Gran Canaria (Gran Canaria - Las Palmas)","{'type': 'Point', 'coordinates': [-15.4311335, 28.1299359]}",28.1299359,-15.4311335
311,Restaurante Tatau,"Calle Azara, 22002 Huesca, España","{'type': 'Point', 'coordinates': [0.1169512, 42.0366044]}",42.0366044,0.1169512
312,Restaurante Fuji,"Calle Fernando Guanarteme, 56. 35010 Las Palmas de Gran Canaria (Gran Canaria - Las Palmas)","{'type': 'Point', 'coordinates': [-15.442881, 28.1272104]}",28.1272104,-15.442881
313,Restaurante La Sandunga,"Calle San Ignacio, 17 38280 Tegueste (Tenerife - Santa Cruz de Tenerife)","{'type': 'Point', 'coordinates': [-16.356905, 28.5025472]}",28.5025472,-16.356905
314,Restaurante El Taller Seve Díaz,"Calle San Felipe, 32 38400 Puerto de la Cruz (Santa Cruz de Tenerife)","{'type': 'Point', 'coordinates': [-16.5531294, 28.4165864]}",28.4165864,-16.5531294
315,Restaurante Qué Leche,"Calle Torres, 22. 35002 Las Palmas de Gran Canaria (Gran Canaria - Las Palmas)","{'type': 'Point', 'coordinates': [-15.4170604188, 28.10428135]}",28.10428135,-15.4170604188
316,Restaurante Ribera del Río Miño,"Calle Olof Palme, 21. 35010 Las Palmas de Gran Canaria (Gran Canaria - Las Palmas)","{'type': 'Point', 'coordinates': [-15.436429109, 28.13523865]}",28.13523865,-15.436429109
317,Restaurante Poemas by Hermanos Padrón,"Calle León y Castillo, 227, Las Palmas de Gran Canaria, Las Palmas","{'type': 'Point', 'coordinates': [-15.4306327, 28.1395959]}",28.1395959,-15.4306327
318,Restaurante La Prensa,"Calle José Nebra, 3, 50007 Zaragoza, España","{'type': 'Point', 'coordinates': [-0.874694, 41.6333456]}",41.6333456,-0.874694
319,Restaurante La Cuchara de San Lorenzo,"Calle Arroyo de San Lorenzo, 2. 14002 Córdoba (Córdoba)","{'type': 'Point', 'coordinates': [-4.7689622, 37.8875669]}",37.8875669,-4.7689622
320,Restaurante Quema,"Paseo María Agustín, 20. 50004 Zaragoza","{'type': 'Point', 'coordinates': [-0.8903937, 41.651318]}",41.651318,-0.8903937
321,Restaurante Vía Veneto,"Calle Ganduxer, 10. 08021 Barcelona","{'type': 'Point', 'coordinates': [2.1391279, 41.392474]}",41.392474,2.1391279
322,Restaurante Casa Bigote,"Pórtico de Bajo de Guía, 10. 11540 Sanlúcar de Barrameda (Cádiz)","{'type': 'Point', 'coordinates': [-6.3519811, 36.7890552]}",36.7890552,-6.3519811
323,Restaurante DSTAgE,"Calle Regueros, 8 28004 Madrid","{'type': 'Point', 'coordinates': [-3.6963316, 40.4245942]}",40.4245942,-3.6963316
324,Restaurante DiverXO,"Calle Padre Damián, 23 28036 Madrid","{'type': 'Point', 'coordinates': [-3.864349, 40.7268324]}",40.7268324,-3.864349
325,Restaurante Lasarte,"Calle Mallorca, 259. 08008 Barcelona","{'type': 'Point', 'coordinates': [2.1863173, 41.4936096]}",41.4936096,2.1863173
326,Restaurante Kabuki Wellington,"Calle Velázquez, 6. 28001 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.7798725, 40.3363102]}",40.3363102,-3.7798725
327,Restaurante Ramón Freixa,"Calle Claudio Coello, 67. 28001 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-4.1466444, 40.5938943]}",40.5938943,-4.1466444
328,Restaurante Ricard Camarena Restaurant,"Avenida de Burjassot, 54 46009 Valencia","{'type': 'Point', 'coordinates': [-0.3852453, 39.4852529]}",39.4852529,-0.3852453
329,Restaurante Quique Dacosta,"Carrer Rascassa, 1","{'type': 'Point', 'coordinates': [4.8851566, 44.0419216]}",44.0419216,4.8851566
330,Restaurante Akelarre,"Paseo Padre Orkolaga, 56. 20008 San Sebastián (Gipuzkoa)","{'type': 'Point', 'coordinates': [-2.0431538, 43.3077826]}",43.3077826,-2.0431538
331,Restaurante Arzak,"Avenida Alcalde José Elosegui, 273  (San Sebastián)","{'type': 'Point', 'coordinates': [-1.9530597, 43.321489]}",43.321489,-1.9530597
332,Restaurante Paco Roncero,"Calle Alcalá, 15 28014 Madrid","{'type': 'Point', 'coordinates': [-3.3019204, 40.298463]}",40.298463,-3.3019204
333,Restaurante Mugaritz,"Aldura Gunea Aldea, 20, 20100 Errenteria, Gipuzkoa, España","{'type': 'Point', 'coordinates': [-1.8976476, 43.2699797]}",43.2699797,-1.8976476
334,Restaurante Elkano,"Calle Herrerieta, 2 20808 Getaria (Gipuzkoa)","{'type': 'Point', 'coordinates': [-2.2050624, 43.3030425]}",43.3030425,-2.2050624
335,Restaurante Noor,"Calle Pablo Ruiz Picasso, 8. 14014 Córdoba","{'type': 'Point', 'coordinates': [-4.202703, 37.4413201]}",37.4413201,-4.202703
336,Restaurante ABaC,"Avenida Tibidabo,1. 08022 Barcelona","{'type': 'Point', 'coordinates': [2.1365386, 41.4104436]}",41.4104436,2.1365386
337,Restaurante El Celler de Can Roca,"Carrer de Can Sunyer, 48, 17007 Girona, España","{'type': 'Point', 'coordinates': [2.8077671336, 41.99340125]}",41.99340125,2.8077671336
338,Restaurante Zuberoa,"Araneder Bidea, 20180 Iturriotz, Gipuzkoa","{'type': 'Point', 'coordinates': [-1.8650503, 43.2928867]}",43.2928867,-1.8650503
339,Restaurante El Campero,"Avenida de la Constitución, 5-C. Barbate (Cádiz). 11160","{'type': 'Point', 'coordinates': [-5.9247296, 36.1886762]}",36.1886762,-5.9247296
340,Restaurante Casa Solla,"Avenida Sineiro, 7 36995 San Salvador de Poio, Pontevedra","{'type': 'Point', 'coordinates': [-8.6688678, 42.4332552]}",42.4332552,-8.6688678
341,Restaurante El Portal de Echaurren,"Calle Padre José García, 19 26280 Ezcaray (Rioja, La)","{'type': 'Point', 'coordinates': [-3.0143275, 42.3259394]}",42.3259394,-3.0143275
342,Restaurante Cocina Hermanos Torres,"Carrer del Taquígraf Serra, 20. 08029 Barcelona (Barcelona)","{'type': 'Point', 'coordinates': [2.1401414071, 41.3863062]}",41.3863062,2.1401414071
343,Restaurante Bagá,"Calle Reja de la Capilla, 3. 23001 Jaén (Jaén)","{'type': 'Point', 'coordinates': [-3.7862887, 37.7668497]}",37.7668497,-3.7862887
344,Restaurante Nerua Guggenheim Bilbao,"Avenida Abandoibarra, 2 48009 Bilbao","{'type': 'Point', 'coordinates': [-2.9345649, 43.2686558]}",43.2686558,-2.9345649
345,Restaurante Abantal,"Calle Alcalde José de la Bandera, 7 41003 Sevilla","{'type': 'Point', 'coordinates': [-5.9837138, 37.3879291]}",37.3879291,-5.9837138
346,Restaurante Novodabo,"Plaza Aragón, 12, 50004 Zaragoza, España","{'type': 'Point', 'coordinates': [-0.8850064, 41.6488174]}",41.6488174,-0.8850064
347,Restaurante Lú Cocina y Alma,"Calle Zaragoza, 2. 11402 Jerez de la Frontera (Cádiz)","{'type': 'Point', 'coordinates': [-6.1333267, 36.688668]}",36.688668,-6.1333267
348,Restaurante El Bohío,"Avenida de Castilla - La Mancha, 81. 45200 Illescas (Toledo)","{'type': 'Point', 'coordinates': [-3.8445015, 40.1288269]}",40.1288269,-3.8445015
349,Restaurante El Doncel,"Paseo de la Alameda, 3. 19250 Sigüenza (Guadalajara)","{'type': 'Point', 'coordinates': [-2.6434055, 41.069502]}",41.069502,-2.6434055
350,Restaurante Solana,"Calle La Bien Aparecida, 11 39849 Ampuero (Cantabria)","{'type': 'Point', 'coordinates': [-3.4514017785, 43.326925]}",43.326925,-3.4514017785
351,Restaurante Maralba,"Calle Violeta Parra, 5. 02640 almansa (Albacete)","{'type': 'Point', 'coordinates': [-1.0910865, 38.8696503]}",38.8696503,-1.0910865
352,Restaurante Baluarte,"Calle Caballeros, 14. 42002 Soria","{'type': 'Point', 'coordinates': [-2.4655069, 41.7623923]}",41.7623923,-2.4655069
353,Restaurante Cocinandos,"Plaza de San Marcos, 1. 24001 León (León)","{'type': 'Point', 'coordinates': [-5.5799462, 42.6018545]}",42.6018545,-5.5799462
354,Restaurante Estrella del Bajo Carrión,"Calle Mayor, 32. 34131 Villoldo (Palencia)","{'type': 'Point', 'coordinates': [-4.6213235, 42.2482769]}",42.2482769,-4.6213235
355,Restaurante El Almacén,"Carretera de Salamanca, 6. 05002 Ávila","{'type': 'Point', 'coordinates': [-4.7685063, 40.7087181]}",40.7087181,-4.7685063
356,Restaurante Casona del Judío,"Calle Repuente, 20 39012 Santander (Cantabria)","{'type': 'Point', 'coordinates': [-3.8291356, 43.4686352]}",43.4686352,-3.8291356
357,Restaurante La Botica de Matapozuelos,"Plaza Mayor, 2 47230 Matapozuelos (Valladolid)","{'type': 'Point', 'coordinates': [-4.7917303, 41.4142575]}",41.4142575,-4.7917303
358,Restaurante Sollo,"Avenida El Higuerón, 48 29640 Fuengirola (Málaga)","{'type': 'Point', 'coordinates': [-4.5954309, 36.5800831]}",36.5800831,-4.5954309
359,Restaurante Lera,"Calle de los Conquistadores zamoranos, 6. 49110 Castroverde de Campos (Zamora)","{'type': 'Point', 'coordinates': [-5.3145641, 41.9683504]}",41.9683504,-5.3145641
360,Restaurante Kazan,"Paseo Milicias de Garachico, 1 38003 Santa Cruz de Tenerife","{'type': 'Point', 'coordinates': [-16.2488412, 28.4684553]}",28.4684553,-16.2488412
361,Restaurante Gastronomico Cañadío,"Calle Gómez Oreña, 15 39003 Santander (Cantabria)","{'type': 'Point', 'coordinates': [-3.8019086, 43.463661]}",43.463661,-3.8019086
362,Restaurante Cinc Sentits,"Carrer d'Entença, 60, 08015 Barcelona, España","{'type': 'Point', 'coordinates': [2.1530727399, 41.3780056855]}",41.3780056855,2.1530727399
363,Restaurante Coure,"Passatge Marimón, 20. 08021 Barcelona (Barcelona)","{'type': 'Point', 'coordinates': [2.1478356238, 41.3943374]}",41.3943374,2.1478356238
364,Restaurante Enoteca - Paco Pérez,"Calle Marina, 19-21. 08005 Barcelona (Barcelona)","{'type': 'Point', 'coordinates': [-64.6832905, 10.1356658]}",10.1356658,-64.6832905
365,Restaurante Koy Shunka,"Calle Copons, 7. 08002 Barcelona","{'type': 'Point', 'coordinates': [2.1753677, 41.385702]}",41.385702,2.1753677
366,Restaurante Angle,"Carrer d'Aragó, 214, 08011 Barcelona, España","{'type': 'Point', 'coordinates': [2.1600634, 41.3883118]}",41.3883118,2.1600634
367,Restaurante Los Marinos José,"Paseo Marítimo Rey de España, 161. 29640 Fuengirola (Málaga)","{'type': 'Point', 'coordinates': [-4.6181456, 36.5441549]}",36.5441549,-4.6181456
368,Restaurante Rivas,"Calle Carretera, 33. 37170 Vega de Tirados (Salamanca)","{'type': 'Point', 'coordinates': [-5.8863639, 41.0235381]}",41.0235381,-5.8863639
369,Restaurante Caelis,"Vía Laietana, 49. 08003 Barcelona (Barcelona)","{'type': 'Point', 'coordinates': [2.1742731, 41.3869749]}",41.3869749,2.1742731
370,Restaurante La Boscana,"Carretera LV-3311, 4, 25142 Bellvís, Lleida","{'type': 'Point', 'coordinates': [0.8133241, 41.667542]}",41.667542,0.8133241
371,Restaurante Víctor Gutiérrez,"Calle Empedrada, 4 37007 Salamanca","{'type': 'Point', 'coordinates': [-5.6703059, 40.9630258]}",40.9630258,-5.6703059
372,Restaurante Lluerna,"Avenida Pallaresa, 104. 08921 Santa Coloma de Gramanet","{'type': 'Point', 'coordinates': [2.2064924, 41.4553057]}",41.4553057,2.2064924
373,Restaurante Massana,"Calle Bonastruc de Porta, 10. 17001 Girona (Girona)","{'type': 'Point', 'coordinates': [2.8194569, 41.984976]}",41.984976,2.8194569
374,Restaurante Moments,"Passeig de Gràcia, 38-40 08007 Barcelona","{'type': 'Point', 'coordinates': [2.1669139759, 41.39138095]}",41.39138095,2.1669139759
375,Restaurante Maher,"Calle Ribera, 19. 31592 Cintruénigo (Navarra)","{'type': 'Point', 'coordinates': [-1.8051946, 42.0836283]}",42.0836283,-1.8051946
376,Restaurante 99 Sushi Bar NH Eurobuilding,"Calle Padre Damián, 23. 28036 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.864349, 40.7268324]}",40.7268324,-3.864349
377,Restaurante ABarra,"Calle del Pinar, 15. 28006 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.6878244, 40.4386537]}",40.4386537,-3.6878244
378,Restaurante Cebo,"Carrera de San Jerónimo, 34. 28014 Madrid","{'type': 'Point', 'coordinates': [-3.6985954, 40.4164051]}",40.4164051,-3.6985954
379,Restaurante Chirón,"Calle Alarcón, 27 28341 Valdemoro (Madrid)","{'type': 'Point', 'coordinates': [-3.6762119, 40.1908206]}",40.1908206,-3.6762119
380,Restaurante Corral de la Morería,"Calle Morería, 17. 28005 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.7141526, 40.4127674]}",40.4127674,-3.7141526
381,Restaurante Ábaco,"Calle Juan de Labrit, 19. 31001 Pamplona (Navarra)","{'type': 'Point', 'coordinates': [-1.6380469, 42.8173409]}",42.8173409,-1.6380469
382,Restaurante La Tasquita de Enfrente,"Calle Ballesta, 6. 28004 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.7035291, 40.421321]}",40.421321,-3.7035291
383,Restaurante Lakasa,"Plaza del Descubridor Diego de Ordás, 1. 28003 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.7007791, 40.4408805]}",40.4408805,-3.7007791
384,Restaurante El Invernadero - Rodrigo de la Calle,"Calle Ponzano, 85. 28003 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.6990159, 40.4422874]}",40.4422874,-3.6990159
385,Restaurante Lúa,"Paseo Eduardo Dato, 5. 28010 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.6964975, 40.4326728]}",40.4326728,-3.6964975
386,Restaurante Gofio,"Calle Lope de Vega, 9. 28014 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.3337624, 40.6333589]}",40.6333589,-3.3337624
387,Restaurante Horcher,"Calle Alfonso XII, 6. 28014 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.5932976, 40.2758576]}",40.2758576,-3.5932976
388,Restaurante El Paraguas,"Calle Jorge Juan, 16. 28002 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-4.0249382, 40.4897942]}",40.4897942,-4.0249382
389,Restaurante Kappo,"Calle Bretón de los Herreros, 54. 28003 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.6937481, 40.4392697]}",40.4392697,-3.6937481
390,Restaurante Sacha (Botillería y fogón),"Calle Juan Hurtado de Mendoza, 11. 28036 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-4.0467548, 40.6087658]}",40.6087658,-4.0467548
391,Restaurante Viridiana,"Calle Juan de Mena, 14. 28014 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.6895976, 40.4172352]}",40.4172352,-3.6895976
392,Restaurante O'Pazo,"Calle Reina Mercedes, 20 28020 Madrid","{'type': 'Point', 'coordinates': [-3.8122696, 40.436316]}",40.436316,-3.8122696
393,Restaurante La Salita,"Carrer de Pere III el Gran, 11, 46005 València, Valencia, España","{'type': 'Point', 'coordinates': [-0.3695473, 39.4624613]}",39.4624613,-0.3695473
394,Restaurante La Sucursal,Edificio Veles e Vents Valencia,"{'type': 'Point', 'coordinates': [-0.3252861911, 39.46180485]}",39.46180485,-0.3252861911
395,Restaurante Kabuki Komori,"Carrer del General Gil Dolz, s/n","{'type': 'Point', 'coordinates': [-0.3615829, 39.4723468]}",39.4723468,-0.3615829
396,Restaurante Peix i Brases,"Plaza Benidorm, 16 03700 Dénia (Alicante)","{'type': 'Point', 'coordinates': [0.1069469, 38.8458928]}",38.8458928,0.1069469
397,Restaurante Beat,"Urbanización Marisol Park, 1 03710 Calp (Alicante)","{'type': 'Point', 'coordinates': [0.0602755, 38.6478298]}",38.6478298,0.0602755
398,Restaurante Manuel Alonso restaurante,"Paseo Marítimo, 5 46710 Daimús (Valencia)","{'type': 'Point', 'coordinates': [-0.1423324, 38.9773904]}",38.9773904,-0.1423324
399,Restaurante Riff,"Calle Conde de Altea, 18 46005 Valencia","{'type': 'Point', 'coordinates': [0.0403458, 38.6445111]}",38.6445111,0.0403458
400,Restaurante Saiti,"Calle Reina Doña Germana, 4 46005 Valencia","{'type': 'Point', 'coordinates': [-0.3660793, 39.4637523]}",39.4637523,-0.3660793
401,Restaurante El Poblet,"Carrer de Correus, 8, 46002 València, Valencia, España","{'type': 'Point', 'coordinates': [-0.3745483, 39.4697061]}",39.4697061,-0.3745483
402,Restaurante Nou Manolín,"Calle Villegas, 3 03001 Alicante","{'type': 'Point', 'coordinates': [-0.4846296, 38.3454248]}",38.3454248,-0.4846296
403,Restaurante Aizian,"Calle Lehendakari Leizaola, 29 48001 Bilbao (Bizkaia)","{'type': 'Point', 'coordinates': [-2.9418734512, 43.26742485]}",43.26742485,-2.9418734512
404,Restaurante Askua,"Calle Felip María Garín, 4. 46021 Valencia (Valencia)","{'type': 'Point', 'coordinates': [-0.3591523, 39.4687152]}",39.4687152,-0.3591523
405,Restaurante Andra Mari,"Barrio Elexalde, 22. 48960 Galdakao (Bizkaia)","{'type': 'Point', 'coordinates': [-2.8328025, 43.2357925]}",43.2357925,-2.8328025
406,Restaurante Atelier Etxanobe,"Calle juan ajuriaguerra kalea, 8, 48009 bilbo, bizkaia, españa","{'type': 'Point', 'coordinates': [-2.9314828, 43.2654325]}",43.2654325,-2.9314828
407,Restaurante Vertical,"Calle Luis García Berlanga, 19 46023","{'type': 'Point', 'coordinates': [-0.3480064, 39.4570064]}",39.4570064,-0.3480064
408,Restaurante Kaia-Kaipe,"Calle General Arnao, 4. 20808 Getaria (Gipuzkoa)","{'type': 'Point', 'coordinates': [-2.2034128, 43.3047329]}",43.3047329,-2.2034128
409,Restaurante Kokotxa,"Calle Campanario, 11. 20003 San Sebastián (Gipuzkoa)","{'type': 'Point', 'coordinates': [-1.9871486, 43.3235374]}",43.3235374,-1.9871486
410,Restaurante Zortziko,"Alameda Mazarredo, 17. 48001 Bilbao (Vizcaya)","{'type': 'Point', 'coordinates': [-2.9294918, 43.2646754]}",43.2646754,-2.9294918
411,Restaurante Kabia,"Legazpi Kalea, 5, 20700 Zumarraga, Gipuzkoa, España","{'type': 'Point', 'coordinates': [-2.3151175, 43.0897612]}",43.0897612,-2.3151175
412,Restaurante Nito,"Playa de Area, 1. 27863 Viveiro (Lugo)","{'type': 'Point', 'coordinates': [-7.5781282398, 43.6915589]}",43.6915589,-7.5781282398
413,Restaurante Maruja Limón,"Rua Montero Ríos, 4. 36201 Vigo (Pontevedra)","{'type': 'Point', 'coordinates': [-8.7238441, 42.2403465]}",42.2403465,-8.7238441
414,Restaurante Mirador de Ulía,"Paseo de Ulía, 193. 20013 San Sebastián (Guipuzcoa)","{'type': 'Point', 'coordinates': [-1.9530171, 43.3215118]}",43.3215118,-1.9530171
415,Restaurante España,"Rua do Teatro, 10","{'type': 'Point', 'coordinates': [-7.555105, 43.0125285]}",43.0125285,-7.555105
416,Restaurante Can Domo,"Carretera Jesús - Cala Llonga,  07840","{'type': 'Point', 'coordinates': [1.4941314, 38.9520561]}",38.9520561,1.4941314
417,Restaurante Dins Santi Taura,"Hotel el llorenç pl. llorenç villalonga, 4","{'type': 'Point', 'coordinates': [1.5934051, 41.1896687]}",41.1896687,1.5934051
418,Restaurante Casa Marcelo,"Rúa Hortas, 1. 15705 Santiago de Compostela (A Coruña)","{'type': 'Point', 'coordinates': [-8.5469538, 42.8806695]}",42.8806695,-8.5469538
419,Restaurante Zarate,"Calle Licenciado Poza, 65. 48013 Bilbao (Bizkaia)","{'type': 'Point', 'coordinates': [-2.9435491, 43.2625689]}",43.2625689,-2.9435491
420,Restaurante Kiro Sushi,"Calle María Teresa Gil de Gárate, 24 2600 Logroño (Rioja, La)","{'type': 'Point', 'coordinates': [-2.450713, 42.4593522]}",42.4593522,-2.450713
421,Restaurante Venta Moncalvillo,"Carretera de Medrano, 6 26373 Daroca de Rioja (Rioja, La)","{'type': 'Point', 'coordinates': [-2.5805146421, 42.3713094]}",42.3713094,-2.5805146421
422,Restaurante Retiro da Costiña,"Avenida Santiago, 12. 15840 Santa Comba (A Coruña)","{'type': 'Point', 'coordinates': [-8.8039443, 43.0332621]}",43.0332621,-8.8039443
423,Restaurante El Corral del Indianu,AVENIDA EUROPA  Nº 14,"{'type': 'Point', 'coordinates': [9.2641057, 45.5152872]}",45.5152872,9.2641057
424,Restaurante Alameda,"Plaza Félix Azpilicueta, 1. 26360 Fuenmayor (Rioja La)","{'type': 'Point', 'coordinates': [-2.5612924, 42.4671161]}",42.4671161,-2.5612924
425,Restaurante Real Balneario,"Avenida Juan Sitges, 3. 3","{'type': 'Point', 'coordinates': [-5.9681271, 43.5786086]}",43.5786086,-5.9681271
426,Restaurante Bido,"Calle Marcial del Adalid, 2-4 15005 A Coruña","{'type': 'Point', 'coordinates': [-8.4080309, 43.3621849]}",43.3621849,-8.4080309
427,Restaurante El Olivar,"Carretera Caravaca, 50 30440 Moratalla (Murcia)","{'type': 'Point', 'coordinates': [-1.8908024, 38.185059]}",38.185059,-1.8908024
428,Restaurante Arte de Cozina,"Calle Calzada, 27 29200 Antequera (Málaga)","{'type': 'Point', 'coordinates': [-4.5579799, 37.0183284]}",37.0183284,-4.5579799
429,Restaurante Canela en Rama,"Calle Espronceda, 22. 23700 Linares (Jaén)","{'type': 'Point', 'coordinates': [-3.6316777, 38.0957463]}",38.0957463,-3.6316777
430,Restaurante Casa Bigote,"Pórtico de Bajo de Guía, 10. 11540 Sanlúcar de Barrameda (Cádiz)","{'type': 'Point', 'coordinates': [-6.3519811, 36.7890552]}",36.7890552,-6.3519811
431,Restaurante Cañabota,"Calle Orfila, 3. 41003 Sevilla (Sevilla)","{'type': 'Point', 'coordinates': [-5.993541773, 37.39350705]}",37.39350705,-5.993541773
432,Restaurante Arrieros,"Calle Arrieros, 2. 21207 Linares de la Sierra (Huelva)","{'type': 'Point', 'coordinates': [-6.6218011, 37.8793741]}",37.8793741,-6.6218011
433,Restaurante Celia Jiménez,"Calle Escritora María Goyri, s/n 14005 Córdoba","{'type': 'Point', 'coordinates': [-4.8023782, 37.8798222]}",37.8798222,-4.8023782
434,Restaurante Código de Barra,"Calle San Francisco,7, 11004, Cádiz","{'type': 'Point', 'coordinates': [-6.2954730629, 36.5337313]}",36.5337313,-6.2954730629
435,Restaurante Magoga,"Plaza Doctor Vicente García Marcos, 5 30201 Cartagena (Murcia)","{'type': 'Point', 'coordinates': [-0.9837671132, 37.60539825]}",37.60539825,-0.9837671132
436,Restaurante Casa Fermín,"Calle San Francisco, 8. 33003 Oviedo (Asturias)","{'type': 'Point', 'coordinates': [-5.8469384, 43.3620421]}",43.3620421,-5.8469384
437,Restaurante Cantina La Estación,"Cuesta Rodadera, 1, Úbeda, Jaén.","{'type': 'Point', 'coordinates': [-3.3672187, 38.0116761]}",38.0116761,-3.3672187
438,Restaurante La Huertona,"Carretera La Piconera, 2. 33560 Ribadesella (Asturias)","{'type': 'Point', 'coordinates': [-5.0660425, 43.4451942]}",43.4451942,-5.0660425
439,Restaurante Dama Juana,"Calle Melchor Cobo Medina, 7, 23001 Jaén, España","{'type': 'Point', 'coordinates': [-3.7854908, 37.7672055]}",37.7672055,-3.7854908
440,Restaurante El Churrasco,"Calle Romero, 16 14003 Córdoba","{'type': 'Point', 'coordinates': [-4.7818471, 37.8800342]}",37.8800342,-4.7818471
441,Restaurante Faralá,"Cuesta de Gomérez, 11, 18009 Granada, España","{'type': 'Point', 'coordinates': [-3.5954104, 37.1765611]}",37.1765611,-3.5954104
442,Restaurante Ispal,"Plaza San Sebastián, 1, 41004 Sevilla, España","{'type': 'Point', 'coordinates': [-5.4149991, 37.3284509]}",37.3284509,-5.4149991
443,Restaurante Jaylu,"Calle López de Gomara, 19","{'type': 'Point', 'coordinates': [-6.0080549, 37.3794303]}",37.3794303,-6.0080549
444,Restaurante Kava,Avenida Antonio Belon 4,"{'type': 'Point', 'coordinates': [-4.8871185, 36.5080882]}",36.5080882,-4.8871185
445,Restaurante La Cuchara de San Lorenzo,"Calle Arroyo de San Lorenzo, 2. 14002 Córdoba (Córdoba)","{'type': 'Point', 'coordinates': [-4.7689622, 37.8875669]}",37.8875669,-4.7689622
446,Restaurante La Cosmopolita,"Calle José Denís Belgrano, 3. 29015 Málaga (Málaga)","{'type': 'Point', 'coordinates': [-4.4200457382, 36.72188005]}",36.72188005,-4.4200457382
447,Restaurante La Curiosidad de Mauro Barreiro,"Calle Veedor, 10. 11003 Cádiz (Cádiz)","{'type': 'Point', 'coordinates': [-6.3000217, 36.5354336]}",36.5354336,-6.3000217
448,Restaurante Mantúa,"Plaza Aladro, 7 11402 Jerez de la Frontera (Cádiz)","{'type': 'Point', 'coordinates': [-6.1359051, 36.687547]}",36.687547,-6.1359051
449,Restaurante Los Sentidos,"Calle Doctor, 13 23700 Linares (Jaén)","{'type': 'Point', 'coordinates': [-3.6290363, 38.091502]}",38.091502,-3.6290363
450,Restaurante Ruta del Veleta,"Av. de la Sierra Nevada, 146, 18190 Cenes de la Vega, Granada, España","{'type': 'Point', 'coordinates': [-3.5278779, 37.1573663]}",37.1573663,-3.5278779
451,Restaurante Sobretablas,"Calle Colombia, 7, 41013 Sevilla, España","{'type': 'Point', 'coordinates': [-6.0728732, 36.9232929]}",36.9232929,-6.0728732
452,Restaurante Kaleja,"Calle Marquesa de Moya, 9, 29015 Málaga","{'type': 'Point', 'coordinates': [-4.417829, 36.7211381]}",36.7211381,-4.417829
453,Restaurante Taberna de Miguel,"Calle María Bellido, 120. 23710 Bailén (Jaén)","{'type': 'Point', 'coordinates': [-3.7782247, 38.0965814]}",38.0965814,-3.7782247
454,Restaurante Ta-Kumi Málaga,"Calle Mundo Nuevo ,4","{'type': 'Point', 'coordinates': [-2.0944477, 37.6903107]}",37.6903107,-2.0944477
455,Restaurante Terraza Carmona,"Calle del Mar, 1.","{'type': 'Point', 'coordinates': [-4.3591404, 36.7208729]}",36.7208729,-4.3591404
456,Restaurante Tribeca,"Calle Chaves Nogales, 3. 41018 Sevilla (Sevilla)","{'type': 'Point', 'coordinates': [-5.9794081, 37.3850292]}",37.3850292,-5.9794081
457,Restaurante YoKo,"Avenida Virgen del Carmen, 2","{'type': 'Point', 'coordinates': [-5.4446779, 36.1293852]}",36.1293852,-5.4446779
458,Restaurante Quema,"Paseo María Agustín, 20. 50004 Zaragoza","{'type': 'Point', 'coordinates': [-0.8903937, 41.651318]}",41.651318,-0.8903937
459,Restaurante Lillas Pastia,"Plaza de Navarra, 4 22002 Huesca","{'type': 'Point', 'coordinates': [-0.4096185583, 42.13615955]}",42.13615955,-0.4096185583
460,Restaurante AIE,"Av. Inmaculada Concepción, 58, 38360 El Sauzal, Santa Cruz de Tenerife, España","{'type': 'Point', 'coordinates': [-16.4365486, 28.4794344]}",28.4794344,-16.4365486
461,Restaurante Tatau,"Calle Azara, 22002 Huesca, España","{'type': 'Point', 'coordinates': [0.1169512, 42.0366044]}",42.0366044,0.1169512
