,Nombre,Direccion,Coordenadas,latitud,longitud
81,Restaurante El Bohío,"Avenida de Castilla - La Mancha, 81. 45200 Illescas (Toledo)","{'type': 'Point', 'coordinates': [-3.8445015, 40.1288269]}",40.1288269,-3.8445015
82,Restaurante El Doncel,"Paseo de la Alameda, 3. 19250 Sigüenza (Guadalajara)","{'type': 'Point', 'coordinates': [-2.6434055, 41.069502]}",41.069502,-2.6434055
83,Restaurante Maralba,"Calle Violeta Parra, 5. 02640 almansa (Albacete)","{'type': 'Point', 'coordinates': [-1.0910865, 38.8696503]}",38.8696503,-1.0910865
84,Restaurante Estrella del Bajo Carrión,"Calle Mayor, 32. 34131 Villoldo (Palencia)","{'type': 'Point', 'coordinates': [-4.6213235, 42.2482769]}",42.2482769,-4.6213235
85,Restaurante La Botica de Matapozuelos,"Plaza Mayor, 2 47230 Matapozuelos (Valladolid)","{'type': 'Point', 'coordinates': [-4.7917303, 41.4142575]}",41.4142575,-4.7917303
86,Restaurante Lera,"Calle de los Conquistadores zamoranos, 6. 49110 Castroverde de Campos (Zamora)","{'type': 'Point', 'coordinates': [-5.3145641, 41.9683504]}",41.9683504,-5.3145641
87,Restaurante Rivas,"Calle Carretera, 33. 37170 Vega de Tirados (Salamanca)","{'type': 'Point', 'coordinates': [-5.8863639, 41.0235381]}",41.0235381,-5.8863639
88,Restaurante Víctor Gutiérrez,"Calle Empedrada, 4 37007 Salamanca","{'type': 'Point', 'coordinates': [-5.6703059, 40.9630258]}",40.9630258,-5.6703059
89,Restaurante El Almacén,"Carretera de Salamanca, 6. 05002 Ávila","{'type': 'Point', 'coordinates': [-4.7685063, 40.7087181]}",40.7087181,-4.7685063
90,Restaurante Angle,"Carrer d'Aragó, 214, 08011 Barcelona, España","{'type': 'Point', 'coordinates': [2.1600634, 41.3883118]}",41.3883118,2.1600634
91,Restaurante Caelis,"Vía Laietana, 49. 08003 Barcelona (Barcelona)","{'type': 'Point', 'coordinates': [2.1742731, 41.3869749]}",41.3869749,2.1742731
92,Restaurante Cinc Sentits,"Carrer d'Entença, 60, 08015 Barcelona, España","{'type': 'Point', 'coordinates': [2.1530727399, 41.3780056855]}",41.3780056855,2.1530727399
93,Restaurante Lera,"Calle de los Conquistadores zamoranos, 6. 49110 Castroverde de Campos (Zamora)","{'type': 'Point', 'coordinates': [-5.3145641, 41.9683504]}",41.9683504,-5.3145641
94,Restaurante Casa Solla,"Avenida Sineiro, 7 36995 San Salvador de Poio, Pontevedra","{'type': 'Point', 'coordinates': [-8.6688678, 42.4332552]}",42.4332552,-8.6688678
95,Restaurante Massana,"Calle Bonastruc de Porta, 10. 17001 Girona (Girona)","{'type': 'Point', 'coordinates': [2.8194569, 41.984976]}",41.984976,2.8194569
96,Restaurante Coure,"Passatge Marimón, 20. 08021 Barcelona (Barcelona)","{'type': 'Point', 'coordinates': [2.1478356238, 41.3943374]}",41.3943374,2.1478356238
97,Restaurante Lluerna,"Avenida Pallaresa, 104. 08921 Santa Coloma de Gramanet","{'type': 'Point', 'coordinates': [2.2064924, 41.4553057]}",41.4553057,2.2064924
98,Restaurante Ábaco,"Calle Juan de Labrit, 19. 31001 Pamplona (Navarra)","{'type': 'Point', 'coordinates': [-1.6380469, 42.8173409]}",42.8173409,-1.6380469
99,Restaurante Cebo,"Carrera de San Jerónimo, 34. 28014 Madrid","{'type': 'Point', 'coordinates': [-3.6985954, 40.4164051]}",40.4164051,-3.6985954
100,Restaurante La Boscana,"Carretera LV-3311, 4, 25142 Bellvís, Lleida","{'type': 'Point', 'coordinates': [0.8133241, 41.667542]}",41.667542,0.8133241
101,Restaurante Enoteca - Paco Pérez,"Calle Marina, 19-21. 08005 Barcelona (Barcelona)","{'type': 'Point', 'coordinates': [-64.6832905, 10.1356658]}",10.1356658,-64.6832905
102,Restaurante ABarra,"Calle del Pinar, 15. 28006 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.6878244, 40.4386537]}",40.4386537,-3.6878244
103,Restaurante Koy Shunka,"Calle Copons, 7. 08002 Barcelona","{'type': 'Point', 'coordinates': [2.1753677, 41.385702]}",41.385702,2.1753677
104,Restaurante 99 Sushi Bar NH Eurobuilding,"Calle Padre Damián, 23. 28036 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.864349, 40.7268324]}",40.7268324,-3.864349
105,Restaurante Chirón,"Calle Alarcón, 27 28341 Valdemoro (Madrid)","{'type': 'Point', 'coordinates': [-3.6762119, 40.1908206]}",40.1908206,-3.6762119
106,Restaurante El Invernadero - Rodrigo de la Calle,"Calle Ponzano, 85. 28003 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.6990159, 40.4422874]}",40.4422874,-3.6990159
107,Restaurante Moments,"Passeig de Gràcia, 38-40 08007 Barcelona","{'type': 'Point', 'coordinates': [2.1669139759, 41.39138095]}",41.39138095,2.1669139759
108,Restaurante El Paraguas,"Calle Jorge Juan, 16. 28002 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-4.0249382, 40.4897942]}",40.4897942,-4.0249382
109,Restaurante Corral de la Morería,"Calle Morería, 17. 28005 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.7141526, 40.4127674]}",40.4127674,-3.7141526
110,Restaurante Maher,"Calle Ribera, 19. 31592 Cintruénigo (Navarra)","{'type': 'Point', 'coordinates': [-1.8051946, 42.0836283]}",42.0836283,-1.8051946
111,Restaurante Horcher,"Calle Alfonso XII, 6. 28014 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.5932976, 40.2758576]}",40.2758576,-3.5932976
112,Restaurante Gofio,"Calle Lope de Vega, 9. 28014 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.3337624, 40.6333589]}",40.6333589,-3.3337624
113,Restaurante Askua,"Calle Felip María Garín, 4. 46021 Valencia (Valencia)","{'type': 'Point', 'coordinates': [-0.3591523, 39.4687152]}",39.4687152,-0.3591523
114,Restaurante Viridiana,"Calle Juan de Mena, 14. 28014 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.6895976, 40.4172352]}",40.4172352,-3.6895976
115,Restaurante Lakasa,"Plaza del Descubridor Diego de Ordás, 1. 28003 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.7007791, 40.4408805]}",40.4408805,-3.7007791
116,Restaurante Beat,"Urbanización Marisol Park, 1 03710 Calp (Alicante)","{'type': 'Point', 'coordinates': [0.0602755, 38.6478298]}",38.6478298,0.0602755
117,Restaurante Kappo,"Calle Bretón de los Herreros, 54. 28003 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.6937481, 40.4392697]}",40.4392697,-3.6937481
118,Restaurante El Poblet,"Carrer de Correus, 8, 46002 València, Valencia, España","{'type': 'Point', 'coordinates': [-0.3745483, 39.4697061]}",39.4697061,-0.3745483
119,Restaurante Kabuki Komori,"Carrer del General Gil Dolz, s/n","{'type': 'Point', 'coordinates': [-0.3615829, 39.4723468]}",39.4723468,-0.3615829
120,Restaurante La Salita,"Carrer de Pere III el Gran, 11, 46005 València, Valencia, España","{'type': 'Point', 'coordinates': [-0.3695473, 39.4624613]}",39.4624613,-0.3695473
121,Restaurante La Tasquita de Enfrente,"Calle Ballesta, 6. 28004 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.7035291, 40.421321]}",40.421321,-3.7035291
122,Restaurante La Sucursal,Edificio Veles e Vents Valencia,"{'type': 'Point', 'coordinates': [-0.3252861911, 39.46180485]}",39.46180485,-0.3252861911
123,Restaurante Manuel Alonso restaurante,"Paseo Marítimo, 5 46710 Daimús (Valencia)","{'type': 'Point', 'coordinates': [-0.1423324, 38.9773904]}",38.9773904,-0.1423324
124,Restaurante Nou Manolín,"Calle Villegas, 3 03001 Alicante","{'type': 'Point', 'coordinates': [-0.4846296, 38.3454248]}",38.3454248,-0.4846296
125,Restaurante Riff,"Calle Conde de Altea, 18 46005 Valencia","{'type': 'Point', 'coordinates': [0.0403458, 38.6445111]}",38.6445111,0.0403458
126,Restaurante Peix i Brases,"Plaza Benidorm, 16 03700 Dénia (Alicante)","{'type': 'Point', 'coordinates': [0.1069469, 38.8458928]}",38.8458928,0.1069469
127,Restaurante Lúa,"Paseo Eduardo Dato, 5. 28010 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-3.6964975, 40.4326728]}",40.4326728,-3.6964975
128,Restaurante O'Pazo,"Calle Reina Mercedes, 20 28020 Madrid","{'type': 'Point', 'coordinates': [-3.8122696, 40.436316]}",40.436316,-3.8122696
129,Restaurante Kabia,"Legazpi Kalea, 5, 20700 Zumarraga, Gipuzkoa, España","{'type': 'Point', 'coordinates': [-2.3151175, 43.0897612]}",43.0897612,-2.3151175
130,Restaurante Atelier Etxanobe,"Calle juan ajuriaguerra kalea, 8, 48009 bilbo, bizkaia, españa","{'type': 'Point', 'coordinates': [-2.9314828, 43.2654325]}",43.2654325,-2.9314828
131,Restaurante Andra Mari,"Barrio Elexalde, 22. 48960 Galdakao (Bizkaia)","{'type': 'Point', 'coordinates': [-2.8328025, 43.2357925]}",43.2357925,-2.8328025
132,Restaurante Kaia-Kaipe,"Calle General Arnao, 4. 20808 Getaria (Gipuzkoa)","{'type': 'Point', 'coordinates': [-2.2034128, 43.3047329]}",43.3047329,-2.2034128
133,Restaurante Kokotxa,"Calle Campanario, 11. 20003 San Sebastián (Gipuzkoa)","{'type': 'Point', 'coordinates': [-1.9871486, 43.3235374]}",43.3235374,-1.9871486
134,Restaurante Mirador de Ulía,"Paseo de Ulía, 193. 20013 San Sebastián (Guipuzcoa)","{'type': 'Point', 'coordinates': [-1.9530171, 43.3215118]}",43.3215118,-1.9530171
135,Restaurante Zortziko,"Alameda Mazarredo, 17. 48001 Bilbao (Vizcaya)","{'type': 'Point', 'coordinates': [-2.9294918, 43.2646754]}",43.2646754,-2.9294918
136,Restaurante Zarate,"Calle Licenciado Poza, 65. 48013 Bilbao (Bizkaia)","{'type': 'Point', 'coordinates': [-2.9435491, 43.2625689]}",43.2625689,-2.9435491
137,Restaurante Bido,"Calle Marcial del Adalid, 2-4 15005 A Coruña","{'type': 'Point', 'coordinates': [-8.4080309, 43.3621849]}",43.3621849,-8.4080309
138,Restaurante Casa Marcelo,"Rúa Hortas, 1. 15705 Santiago de Compostela (A Coruña)","{'type': 'Point', 'coordinates': [-8.5469538, 42.8806695]}",42.8806695,-8.5469538
139,Restaurante España,"Rua do Teatro, 10","{'type': 'Point', 'coordinates': [-7.555105, 43.0125285]}",43.0125285,-7.555105
140,Restaurante Saiti,"Calle Reina Doña Germana, 4 46005 Valencia","{'type': 'Point', 'coordinates': [-0.3660793, 39.4637523]}",39.4637523,-0.3660793
141,Restaurante Maruja Limón,"Rua Montero Ríos, 4. 36201 Vigo (Pontevedra)","{'type': 'Point', 'coordinates': [-8.7238441, 42.2403465]}",42.2403465,-8.7238441
142,Restaurante Aizian,"Calle Lehendakari Leizaola, 29 48001 Bilbao (Bizkaia)","{'type': 'Point', 'coordinates': [-2.9418734512, 43.26742485]}",43.26742485,-2.9418734512
143,Restaurante Retiro da Costiña,"Avenida Santiago, 12. 15840 Santa Comba (A Coruña)","{'type': 'Point', 'coordinates': [-8.8039443, 43.0332621]}",43.0332621,-8.8039443
144,Restaurante Vertical,"Calle Luis García Berlanga, 19 46023","{'type': 'Point', 'coordinates': [-0.3480064, 39.4570064]}",39.4570064,-0.3480064
145,Restaurante Alameda,"Plaza Félix Azpilicueta, 1. 26360 Fuenmayor (Rioja La)","{'type': 'Point', 'coordinates': [-2.5612924, 42.4671161]}",42.4671161,-2.5612924
146,Restaurante Dins Santi Taura,"Hotel el llorenç pl. llorenç villalonga, 4","{'type': 'Point', 'coordinates': [1.5934051, 41.1896687]}",41.1896687,1.5934051
147,Restaurante Kiro Sushi,"Calle María Teresa Gil de Gárate, 24 2600 Logroño (Rioja, La)","{'type': 'Point', 'coordinates': [-2.450713, 42.4593522]}",42.4593522,-2.450713
148,Restaurante Venta Moncalvillo,"Carretera de Medrano, 6 26373 Daroca de Rioja (Rioja, La)","{'type': 'Point', 'coordinates': [-2.5805146421, 42.3713094]}",42.3713094,-2.5805146421
149,Restaurante Casa Fermín,"Calle San Francisco, 8. 33003 Oviedo (Asturias)","{'type': 'Point', 'coordinates': [-5.8469384, 43.3620421]}",43.3620421,-5.8469384
150,Restaurante El Corral del Indianu,AVENIDA EUROPA  Nº 14,"{'type': 'Point', 'coordinates': [9.2641057, 45.5152872]}",45.5152872,9.2641057
151,Restaurante La Huertona,"Carretera La Piconera, 2. 33560 Ribadesella (Asturias)","{'type': 'Point', 'coordinates': [-5.0660425, 43.4451942]}",43.4451942,-5.0660425
152,Restaurante Real Balneario,"Avenida Juan Sitges, 3. 3","{'type': 'Point', 'coordinates': [-5.9681271, 43.5786086]}",43.5786086,-5.9681271
153,Restaurante El Olivar,"Carretera Caravaca, 50 30440 Moratalla (Murcia)","{'type': 'Point', 'coordinates': [-1.8908024, 38.185059]}",38.185059,-1.8908024
154,Restaurante Magoga,"Plaza Doctor Vicente García Marcos, 5 30201 Cartagena (Murcia)","{'type': 'Point', 'coordinates': [-0.9837671132, 37.60539825]}",37.60539825,-0.9837671132
155,Restaurante Arrieros,"Calle Arrieros, 2. 21207 Linares de la Sierra (Huelva)","{'type': 'Point', 'coordinates': [-6.6218011, 37.8793741]}",37.8793741,-6.6218011
156,Restaurante Can Domo,"Carretera Jesús - Cala Llonga,  07840","{'type': 'Point', 'coordinates': [1.4941314, 38.9520561]}",38.9520561,1.4941314
157,Restaurante Nito,"Playa de Area, 1. 27863 Viveiro (Lugo)","{'type': 'Point', 'coordinates': [-7.5781282398, 43.6915589]}",43.6915589,-7.5781282398
158,Restaurante Cañabota,"Calle Orfila, 3. 41003 Sevilla (Sevilla)","{'type': 'Point', 'coordinates': [-5.993541773, 37.39350705]}",37.39350705,-5.993541773
159,Restaurante Celia Jiménez,"Calle Escritora María Goyri, s/n 14005 Córdoba","{'type': 'Point', 'coordinates': [-4.8023782, 37.8798222]}",37.8798222,-4.8023782
160,Restaurante Código de Barra,"Calle San Francisco,7, 11004, Cádiz","{'type': 'Point', 'coordinates': [-6.2954730629, 36.5337313]}",36.5337313,-6.2954730629
161,Restaurante Sacha (Botillería y fogón),"Calle Juan Hurtado de Mendoza, 11. 28036 Madrid (Madrid)","{'type': 'Point', 'coordinates': [-4.0467548, 40.6087658]}",40.6087658,-4.0467548
162,Restaurante Dama Juana,"Calle Melchor Cobo Medina, 7, 23001 Jaén, España","{'type': 'Point', 'coordinates': [-3.7854908, 37.7672055]}",37.7672055,-3.7854908
